-1.999408e+01 -2.186273e+01 -2.100000e+01 -2.000000e+00 -1.321819e+01 -1.239143e+01 -inf -inf -inf -inf -1.169343e+01 -3.010995e-01 -3.010300e-01 -1.101327e+01 -1.232528e+01 -1.401578e+01 -inf -inf -inf -inf  -inf -inf -inf -inf
-1.229898e+01 -1.487860e+01 -1.330012e+01 -2.000000e+00 -4.407528e+00 -2.901882e+00 -3.430869e+00 -7.131637e+00 -5.041544e+00 -6.712439e+00 -2.131043e+00 -3.672865e-01 -3.052425e-01 -1.469117e+00 -2.789564e+00 -4.354875e+00 -6.503374e+00 -9.367550e+00 -1.237303e+01 -1.794337e+01  -2.361265e+01 -2.904868e+01 -3.556893e+01 -3.120076e+01
-1.207978e+01 -1.527000e+01 -1.308006e+01 -2.000000e+00 -4.390097e+00 -2.763385e+00 -3.112620e+00 -6.737676e+00 -4.725717e+00 -6.070370e+00 -1.914344e+00 -4.057904e-01 -3.073637e-01 -1.248816e+00 -2.581129e+00 -4.004495e+00 -5.240044e+00 -7.842730e+00 -1.083913e+01 -1.590217e+01  -2.094467e+01 -2.581419e+01 -3.180158e+01 -2.765639e+01
-1.185995e+01 -1.474912e+01 -1.286051e+01 -2.000000e+00 -4.308031e+00 -2.648576e+00 -2.831578e+00 -6.459587e+00 -4.435731e+00 -5.528740e+00 -1.715760e+00 -4.632623e-01 -3.099757e-01 -1.050191e+00 -2.371434e+00 -3.505253e+00 -3.988844e+00 -6.358734e+00 -9.333288e+00 -1.378114e+01  -1.806915e+01 -2.267491e+01 -2.808556e+01 -2.392006e+01
-1.163903e+01 -1.414009e+01 -1.264040e+01 -2.000000e+00 -4.128359e+00 -2.527085e+00 -2.542338e+00 -6.147336e+00 -4.171800e+00 -5.071972e+00 -1.549256e+00 -5.452546e-01 -3.125840e-01 -9.130028e-01 -2.154282e+00 -2.890697e+00 -2.909292e+00 -5.010307e+00 -7.909202e+00 -1.151628e+01  -1.529814e+01 -1.975493e+01 -2.447634e+01 -2.017751e+01
-1.141990e+01 -1.469718e+01 -1.242013e+01 -2.000000e+00 -3.927731e+00 -2.407239e+00 -2.312482e+00 -5.851137e+00 -3.970650e+00 -4.756478e+00 -1.395997e+00 -6.536394e-01 -3.132500e-01 -8.699972e-01 -1.935413e+00 -2.345278e+00 -2.126362e+00 -3.917334e+00 -6.570477e+00 -9.409076e+00  -1.287945e+01 -1.697831e+01 -2.095848e+01 -1.663967e+01
-1.119989e+01 -1.469718e+01 -1.220003e+01 -2.000000e+00 -3.738776e+00 -2.289971e+00 -2.261739e+00 -5.737548e+00 -3.900426e+00 -4.683937e+00 -1.228260e+00 -7.886136e-01 -3.094968e-01 -9.531765e-01 -1.729886e+00 -1.909207e+00 -1.636756e+00 -3.135864e+00 -5.238637e+00 -7.688640e+00  -1.074520e+01 -1.419707e+01 -1.745603e+01 -1.323725e+01
-1.097996e+01 -1.469718e+01 -1.198004e+01 -2.000000e+00 -3.576953e+00 -2.173370e+00 -2.508608e+00 -5.827320e+00 -4.066074e+00 -4.907329e+00 -1.074529e+00 -9.436973e-01 -3.060264e-01 -1.247428e+00 -1.567911e+00 -1.514624e+00 -1.389232e+00 -2.705520e+00 -4.180540e+00 -6.463305e+00  -8.943933e+00 -1.165275e+01 -1.413910e+01 -1.007019e+01
-1.075991e+01 -1.442263e+01 -1.176001e+01 -2.000000e+00 -3.511865e+00 -2.098831e+00 -3.071129e+00 -6.052833e+00 -4.443778e+00 -5.385664e+00 -9.796677e-01 -1.105960e+00 -3.175220e-01 -1.793908e+00 -1.504879e+00 -1.165627e+00 -1.343972e+00 -2.465376e+00 -3.575655e+00 -5.686403e+00  -7.529537e+00 -9.543933e+00 -1.125760e+01 -7.454024e+00
-1.053995e+01 -1.414809e+01 -1.154006e+01 -2.000000e+00 -3.532722e+00 -2.077734e+00 -3.571691e+00 -6.286007e+00 -4.688773e+00 -5.771439e+00 -9.284562e-01 -1.257585e+00 -3.488933e-01 -2.246514e+00 -1.544193e+00 -9.268479e-01 -1.364971e+00 -2.312046e+00 -3.237216e+00 -5.270562e+00  -6.636496e+00 -8.052026e+00 -9.089168e+00 -5.640423e+00
-1.031989e+01 -1.387354e+01 -1.132001e+01 -2.000000e+00 -3.596605e+00 -2.064156e+00 -3.859189e+00 -6.573067e+00 -4.787078e+00 -6.002320e+00 -8.980702e-01 -1.383222e+00 -3.988686e-01 -2.468361e+00 -1.657570e+00 -7.855699e-01 -1.309776e+00 -2.179625e+00 -2.951762e+00 -4.956309e+00  -6.078292e+00 -7.059998e+00 -7.574325e+00 -4.504035e+00
-1.009999e+01 -1.364475e+01 -1.110012e+01 -2.000000e+00 -3.678540e+00 -2.040708e+00 -4.076032e+00 -6.896227e+00 -4.854033e+00 -6.185012e+00 -8.786026e-01 -1.478286e+00 -4.733732e-01 -2.603349e+00 -1.809173e+00 -6.902107e-01 -1.206861e+00 -2.029574e+00 -2.687430e+00 -4.657421e+00  -5.646919e+00 -6.342174e+00 -6.514440e+00 -3.770004e+00
-9.879971e+00 -1.359900e+01 -1.088005e+01 -2.000000e+00 -3.755623e+00 -2.010969e+00 -4.271006e+00 -7.179430e+00 -4.936362e+00 -6.337539e+00 -8.637459e-01 -1.555955e+00 -5.853393e-01 -2.716569e+00 -1.943468e+00 -6.101687e-01 -1.105432e+00 -1.887330e+00 -2.464300e+00 -4.402254e+00  -5.292973e+00 -5.767003e+00 -5.741991e+00 -3.229567e+00
-9.659967e+00 -1.355324e+01 -1.066002e+01 -2.000000e+00 -3.824414e+00 -1.979843e+00 -4.481221e+00 -7.411504e+00 -5.065640e+00 -6.485382e+00 -8.532364e-01 -1.640707e+00 -7.541649e-01 -2.850168e+00 -2.036750e+00 -5.389574e-01 -1.018319e+00 -1.767321e+00 -2.284217e+00 -4.196183e+00  -4.990963e+00 -5.273390e+00 -5.144148e+00 -2.793230e+00
-9.439992e+00 -1.355324e+01 -1.044003e+01 -2.000000e+00 -3.885886e+00 -1.950219e+00 -4.732785e+00 -7.619639e+00 -5.268305e+00 -6.651905e+00 -8.484304e-01 -1.756811e+00 -1.004440e+00 -3.031060e+00 -2.105154e+00 -4.810669e-01 -9.519912e-01 -1.677411e+00 -2.150435e+00 -4.042407e+00  -4.720905e+00 -4.841072e+00 -4.663800e+00 -2.430807e+00
-9.219994e+00 -1.346172e+01 -1.022002e+01 -2.000000e+00 -3.934699e+00 -1.922988e+00 -5.020811e+00 -7.802741e+00 -5.556000e+00 -6.823558e+00 -8.481019e-01 -1.923764e+00 -1.356569e+00 -3.257236e+00 -2.147679e+00 -4.437161e-01 -9.127799e-01 -1.625616e+00 -2.073170e+00 -3.950406e+00  -4.483351e+00 -4.478876e+00 -4.281503e+00 -2.134752e+00
